,iter,temp,growth,o2flux,gluFlux,R2,MSE
0,1,20.153299075508016,0.33371341651910286,11.544249349924591,14.247766646791668,0.726835355720373,0.04204043420438205
1,1,23.00151111308503,0.46788527600970403,15.62132808801999,16.019740303539184,0.726835355720373,0.04204043420438205
2,1,26.331896319367047,0.6541197131680275,20.665712646463177,18.493414936224998,0.726835355720373,0.04204043420438205
3,1,28.251819864188008,0.7800661522275737,24.131374537522966,20.22934596043072,0.726835355720373,0.04204043420438205
4,1,29.99421176442104,0.9086934647536902,27.575646644895027,22.055847010140702,0.726835355720373,0.04204043420438205
5,1,31.62212188446705,1.0393169851389075,31.005259761972223,23.994256171485446,0.726835355720373,0.04204043420438205
6,1,33.61728633658504,1.208592733716812,35.41923050282252,26.660846590981027,0.726835355720373,0.04204043420438205
7,1,36.55299482796005,1.4474918586968653,41.97701851079658,30.980744319243954,0.726835355720373,0.04204043420438205
8,1,38.54155004207803,1.4296772292054436,39.610854649752255,28.931666624229,0.726835355720373,0.04204043420438205
9,1,40.20094365636703,1.2773931348170218,33.90340409959468,15.164607198488204,0.726835355720373,0.04204043420438205
10,1,42.23876395989504,1.0855979504166866,28.301040190653925,12.951244160663416,0.726835355720373,0.04204043420438205
11,1,44.453491097574044,0.8830368207447651,23.67271777572938,10.515754634378434,0.726835355720373,0.04204043420438205
12,1,45.28989924561603,0.8103767715052641,21.98887231539583,9.654968645989499,0.726835355720373,0.04204043420438205
13,1,46.64533098816804,0.698792172343809,19.306372442003457,8.38307242463376,0.726835355720373,0.04204043420438205
14,1,48.47717620988101,0.5621468599878828,16.106082044888446,6.839633583099728,0.726835355720373,0.04204043420438205
0,2,20.153299075508016,0.3707389182227475,12.55333570608324,14.575132084347509,0.45850837739220696,0.08333634461553491
1,2,23.00151111308503,0.5481474173504227,16.995566555374765,17.990809301321057,0.45850837739220696,0.08333634461553491
2,2,26.331896319367047,0.8053351466715138,23.944746006941447,22.255808736292302,0.45850837739220696,0.08333634461553491
3,2,28.251819864188008,0.9479058301907229,27.75837982794414,24.764578467869754,0.45850837739220696,0.08333634461553491
4,2,29.99421176442104,1.0812163978033487,31.206845274828336,27.031791064754827,0.45850837739220696,0.08333634461553491
5,2,31.62212188446705,1.2073139709796634,34.40652562729924,29.107207530642448,0.45850837739220696,0.08333634461553491
6,2,33.61728633658504,1.3447242037579896,37.87888383495117,31.52238589668444,0.45850837739220696,0.08333634461553491
7,2,36.55299482796005,1.4806514548014145,39.73497680593171,34.74732027788903,0.45850837739220696,0.08333634461553491
8,2,38.54155004207803,1.5298621652053412,39.12453541672196,36.584619868205785,0.45850837739220696,0.08333634461553491
9,2,40.20094365636703,1.5443855548287297,41.2092641068265,37.3495180893636,0.45850837739220696,0.08333634461553491
10,2,42.23876395989504,1.491185896207088,38.18650160777641,32.70571829456668,0.45850837739220696,0.08333634461553491
11,2,44.453491097574044,1.3533715695971285,35.95008871134767,24.02481315382839,0.45850837739220696,0.08333634461553491
12,2,45.28989924561603,1.299505389259618,33.55846500133376,19.744631607965715,0.45850837739220696,0.08333634461553491
13,2,46.64533098816804,1.211191218913579,31.106477793423448,15.489809056338238,0.45850837739220696,0.08333634461553491
14,2,48.47717620988101,1.0916361243616823,27.094295391669956,14.229545295630777,0.45850837739220696,0.08333634461553491
0,3,20.153299075508016,0.13093813966029114,5.104685111338241,6.751183222110245,0.6782296643847269,0.049520920465491995
1,3,23.00151111308503,0.24742075693216017,8.155766192437106,8.491409092910828,0.6782296643847269,0.049520920465491995
2,3,26.331896319367047,0.46316028215547067,13.73793513405282,10.974396022464123,0.6782296643847269,0.049520920465491995
3,3,28.251819864188008,0.6290049067527061,17.938626428715327,13.43823562808531,0.6782296643847269,0.049520920465491995
4,3,29.99421176442104,0.8026290558667074,22.109824423094,12.775772040214205,0.6782296643847269,0.049520920465491995
5,3,31.62212188446705,0.9795058697798525,27.515092498390803,21.403140013680567,0.6782296643847269,0.049520920465491995
6,3,33.61728633658504,1.205119267109488,34.454275993686075,28.567684084700648,0.6782296643847269,0.049520920465491995
7,3,36.55299482796005,1.4081579536655142,39.23512839828829,31.997405409141827,0.6782296643847269,0.049520920465491995
8,3,38.54155004207803,1.4879961163882378,39.69906062802586,34.085861983259434,0.6782296643847269,0.049520920465491995
9,3,40.20094365636703,1.5006524078974726,39.068706320948756,33.52503631451238,0.6782296643847269,0.049520920465491995
10,3,42.23876395989504,1.332222340975529,35.86721910121857,17.53682630141197,0.6782296643847269,0.049520920465491995
11,3,44.453491097574044,1.14037081481745,29.53024777344759,13.702670399565832,0.6782296643847269,0.049520920465491995
12,3,45.28989924561603,1.0679154191832192,27.862627947573483,12.836234388026838,0.6782296643847269,0.049520920465491995
13,3,46.64533098816804,0.9525832675795796,25.192802128683923,11.464320168372115,0.6782296643847269,0.049520920465491995
14,3,48.47717620988101,0.8038789937763987,21.773395367118813,9.735101312741564,0.6782296643847269,0.049520920465491995
0,4,20.153299075508016,0.1768462130673629,5.916251904446025,7.141136451491502,0.7366804615458571,0.04052525816546629
1,4,23.00151111308503,0.30987058864456973,9.55717515471153,11.211350112098506,0.7366804615458571,0.04052525816546629
2,4,26.331896319367047,0.5407149285931412,15.304534508415118,16.88841669817605,0.7366804615458571,0.04052525816546629
3,4,28.251819864188008,0.6808742027499329,19.243446544467016,20.830456497998536,0.7366804615458571,0.04052525816546629
4,4,29.99421176442104,0.8103615563354862,23.076059854433893,22.87525270832152,0.7366804615458571,0.04052525816546629
